Mountain,Filename,Total_Distance_km,Elevation_Gain_m,Min_Elevation_m,Max_Elevation_m,Average_Slope_%,Max_Slope_%,Estimated_Time_hrs,Start_Lat,Start_Lon,End_Lat,End_Lon,join_key,산이름,높이_m,소재지,봄추천,여름추천,가을추천,겨울추천,봄_포인트,여름_포인트,가을_포인트,겨울_포인트,단풍절정시기,기상청단풍확인,겨울난이도(★기준),입문자추천,케이블카·곤돌라,대중교통접근,메모,Score_Endurance,Score_Joint_Strain,Score_Total_Difficulty,PeakFit_Tags,Cluster_ID,Persona_Type,Persona_Tags
가지산,가지산_0000000001.gpx,9.54,964.18,309.23,1269.66,23.51,500.25,0,35.617687,129.039315,35.618023,129.039333,가지산,가지산,1241.0,경남 밀양·울산·경북 청도,O,O,O,O,철쭉·진달래,석남사 계곡,단풍,설경,-,O,★★★,X,X,X,영남알프스 최고봉,35.7,14.9,25.3,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
가지산,가지산_0000000002.gpx,14.6,812.09,323.5,1271.07,17.71,232.36,0,35.579245,129.028058,35.617981,129.039735,가지산,가지산,1241.0,경남 밀양·울산·경북 청도,O,O,O,O,철쭉·진달래,석남사 계곡,단풍,설경,-,O,★★★,X,X,X,영남알프스 최고봉,41.7,9.6,25.6,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
가지산,가지산_0000000003.gpx,12.99,984.74,382.89,1274.08,20.54,305.32,0,35.585741,128.995592,35.586122,128.996447,가지산,가지산,1241.0,경남 밀양·울산·경북 청도,O,O,O,O,철쭉·진달래,석남사 계곡,단풍,설경,-,O,★★★,X,X,X,영남알프스 최고봉,42.2,11.4,26.8,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
가지산,가지산_0000000004.gpx,12.54,1179.92,287.1,1269.83,25.66,387.04,0,35.667478,129.002535,35.620751,129.034576,가지산,가지산,1241.0,경남 밀양·울산·경북 청도,O,O,O,O,철쭉·진달래,석남사 계곡,단풍,설경,-,O,★★★,X,X,X,영남알프스 최고봉,45.2,14.1,29.6,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
감악산,감악산_0000000001.gpx,5.79,740.0,146.0,699.0,29.47,725.71,0,37.936916,126.946248,37.938024,126.950055,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,24.8,19.7,22.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000002.gpx,9.16,753.0,141.0,693.0,19.47,206.06,0,37.922971,126.998702,37.921491,126.995151,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,31.0,9.8,20.4,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000003.gpx,11.36,923.0,155.0,688.0,18.8,290.24,0,37.905659,126.962918,37.909954,126.965363,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,38.2,10.7,24.5,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
감악산,감악산_0000000004.gpx,7.78,727.0,58.0,692.0,20.71,131.91,0,37.969506,126.951917,37.959643,126.957299,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,28.1,9.2,18.6,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000005.gpx,7.8,697.0,167.0,606.0,21.11,370.39,0,37.9115,126.964985,37.91061,126.964949,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,27.6,12.5,20.0,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000006.gpx,8.54,805.0,150.0,680.0,20.6,147.03,0,37.941626,127.003043,37.933324,127.001104,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,30.9,9.4,20.2,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
